tweet_id,type,creation_date,date
1609373368314396672,tweet,2023-01-01 02:18:06+00:00,2023-01-01
1609375005418328064,retweeted,2023-01-01 02:24:36+00:00,2023-01-01
1609375057117343746,retweeted,2023-01-01 02:24:49+00:00,2023-01-01
1609375115166482432,retweeted,2023-01-01 02:25:02+00:00,2023-01-01
1609375153238020097,tweet,2023-01-01 02:25:11+00:00,2023-01-01
1609375384889622528,tweet,2023-01-01 02:26:07+00:00,2023-01-01
1609375498899161088,tweet,2023-01-01 02:26:34+00:00,2023-01-01
1609376334718828547,retweeted,2023-01-01 02:29:53+00:00,2023-01-01
1609376396517822465,retweeted,2023-01-01 02:30:08+00:00,2023-01-01
1609378035186413568,replied_to,2023-01-01 02:36:39+00:00,2023-01-01
1609378858851094529,retweeted,2023-01-01 02:39:55+00:00,2023-01-01
1609379205237678081,tweet,2023-01-01 02:41:18+00:00,2023-01-01
1609380258142191618,retweeted,2023-01-01 02:45:29+00:00,2023-01-01
1609381488902172673,tweet,2023-01-01 02:50:22+00:00,2023-01-01
1609381688907276290,retweeted,2023-01-01 02:51:10+00:00,2023-01-01
1609381817785671681,retweeted,2023-01-01 02:51:40+00:00,2023-01-01
1609381882097016832,retweeted,2023-01-01 02:51:56+00:00,2023-01-01
1609382278378946564,retweeted,2023-01-01 02:53:30+00:00,2023-01-01
1609382786267234305,retweeted,2023-01-01 02:55:31+00:00,2023-01-01
1609383844603387905,retweeted,2023-01-01 02:59:44+00:00,2023-01-01
1609384063659380739,tweet,2023-01-01 03:00:36+00:00,2023-01-01
1609384520985223168,tweet,2023-01-01 03:02:25+00:00,2023-01-01
1609384822526595072,quoted,2023-01-01 03:03:37+00:00,2023-01-01
1609386235700858881,retweeted,2023-01-01 03:09:14+00:00,2023-01-01
1609386582670462976,tweet,2023-01-01 03:10:36+00:00,2023-01-01
1609386895020097536,retweeted,2023-01-01 03:11:51+00:00,2023-01-01
1609387003363074049,tweet,2023-01-01 03:12:17+00:00,2023-01-01
1609387045654519809,tweet,2023-01-01 03:12:27+00:00,2023-01-01
1609387072279777281,retweeted,2023-01-01 03:12:33+00:00,2023-01-01
1609387131775979522,retweeted,2023-01-01 03:12:47+00:00,2023-01-01
1609387742823055361,retweeted,2023-01-01 03:15:13+00:00,2023-01-01
1609387836360331265,retweeted,2023-01-01 03:15:35+00:00,2023-01-01
1609390199045509121,tweet,2023-01-01 03:24:59+00:00,2023-01-01
1609390399293988866,tweet,2023-01-01 03:25:46+00:00,2023-01-01
1609391142973448193,retweeted,2023-01-01 03:28:44+00:00,2023-01-01
1609392380305674240,retweeted,2023-01-01 03:33:39+00:00,2023-01-01
1609392884419026944,retweeted,2023-01-01 03:35:39+00:00,2023-01-01
1609393586378006530,retweeted,2023-01-01 03:38:26+00:00,2023-01-01
1609393752862298113,retweeted,2023-01-01 03:39:06+00:00,2023-01-01
1609394273408925696,tweet,2023-01-01 03:41:10+00:00,2023-01-01
