user_id,following,followers
1506614512941776904,71,10
372558470,208,116
1268596709963202560,19,0
1137842702874288130,838,5651
2522022495,3974,4736
1276274887280254977,595,1219
862829175253741568,188,25
1002327000521105408,221,493
1312441396452757505,408,12
1611893533530529792,191,4
1439603289704828934,294,20
32909708,864,154
135990942,310,523
1174124611505668097,313,44
898846408316473344,5001,2617
119401640,905,56
1527294866115403776,64,5
1393606084850425864,511,15
710123736175783938,2,44761
1533209625176248326,7,4935
1264433760,24331,33615
239676320,1855,1183
1152300516275306498,204,201
496344154,68,10
1362623300447346692,84,476
952544554544230405,4978,455
1491233303785050112,252,5
1254271393086218240,2236,284
770162927269806080,5,119
1442104424,534,542
1506363445364420610,1527,461
1252679420,10744,12006
298885918,853,927
432313464,774,65
419838865,918,243
929829942694576128,1453,995
2748591927,8,2
1243990473934622720,46,1260
1537355649369026560,111,6
1148112531199860737,383,41
4056588987,931,278
1010707001700044800,155,1506
1392079197842124800,235,124
1314653878172946435,403,337
1491776087684104193,1,2508
1334081272298106887,350,43
2248654587,610,1428
221272088,678,824
109851982,4999,3349
969733257083400199,190,61
913423000820682762,3393,2870
2821128539,5705,6436
822850167195869185,660,2197
500959308,11500,11841
596044465,670,349
3687426084,2577,214
1285533643,262,57
1042633271421689857,2735,5116
1545256236601561089,186,34
1424773376518807560,274,9
37531625,1904,1273
1551615313309044740,13,0
2846746571,2029,659
1614827450,2212,2514
1205099007292461056,1419,1481
42502069,1654,2235
21906806,373,168
1509408495820546049,91,48
1586419392438468615,1491,2802
3218797662,5004,1683
1208118081102368768,82,493
718280755399495681,665,818
2179075540,1093,547
755243832,1073,1049
437085205,7787,7081
1060666108670304257,697,210
1289268997913968641,661,387
61746508,5000,3282
3434811471,103,9
1348057734747480064,462,266
1267571581355732992,1706,924
1597144823663919110,103,3
922937310718472192,255,136
1566779619100856320,112,154
135060128,37,71
962261919762706434,234,1041
2406819582,7,13
1214086819588894722,239,51
1603900045,1206,1277
930255361,352,512
1523705220982882305,102,11
1024246391068086272,1158,658
715701893150990336,553,257
1188965813937684480,3336,6244
1331274208475820037,358,154
1565435174212468737,391,64
1358371812766277633,257,14
1083031731769364480,670,148
790858146,4806,876
1293671380450410497,60,71
863742930347053056,1342,505
1447294515883266059,458,61
15386213,215,1069
1459731817326645254,29,4
1511862058307969030,69,15
1577802043590606848,448,71
1281253609988997120,0,15983
22390708,789,622
15678167,67153,121854
1596427197316796417,577,34
3148003714,726,1054
1388573938297475073,1342,59
1504546145015578624,38,27
1000540315,1372,133
1588311629447446528,98,25
1280856568855244800,286,156
1488480666635354117,796,1081
1466911714448924678,122,6
1496361520602693633,185,204
1604739464944750594,93,23
928368301755064320,550,334
77016242,20524,20452
1410307824614322182,144,195
1573299760152383488,306,94
182980598,3425,2783
1304527726699786241,232,57
1348994790604632084,66,12
1036713278846771200,235,43
373573735,3984,4212
1543911647785488404,6,1
1553698600575803395,37,259
709564705304498176,445,9519
2605112473,1475,2824
1489740332216381441,130,23
849666375920603137,8895,16921
1612953550862032901,18,1
1481976686912880640,547,132
1005135519355768832,29,370
2477888749,11,0
221848023,8141,18672
704555701,171,84
43900547,4957,6469
1140814335763075072,274,236
1075448857390186497,82,554
985425300292022273,6047,6039
1198680956045078528,1,310
369635506,668,1732
931511891981152258,298,73
1318998139068588033,4050,4080
1177644694957940738,179,57
2231786285,971,187
348781581,5274,5263
1519019654311821312,340,25
633403676,256,252
1277020178,1721,1393
1180440574060445696,1361,1014
1423118779995856896,5001,3517
546313843,6824,6689
1595198321374683136,98,18
1537938985133101057,2175,254
971886302424719361,691,103
1608167944617443328,61,206
9190572,5001,2728
1324069039291854849,270,1280
1139318393859989504,710,820
1428516639918657536,843,308
1046102582643642373,54426,61744
70439911,421,266
810925501468524548,344,37
796129101539057664,169,174
1044937263489134592,4893,1015
1147488971280310273,5000,3720
1200456437090209793,5003,347
741337705,23551,25148
516726972,1486,2580
1512471951410962432,558,21
1104333879522066432,689,8834
56903836,475,527
1537291933495615488,7903,15095
21677872,13993,41557
1497289933756657668,4,3
18991993,121,37
1247936844114919424,699,148
1523748272736772098,4992,2236
161540420,2579,5335
1519149591052046336,7763,7712
2510753433,5928,5548
1467697350290333702,3,0
243810494,4647,6058
1433797454202290182,1058,196
12369282,680,4224
14116906,19155,17527
2307675307,198411,301193
730936281383997440,456,464
1268653533030645761,568,9
1609437919306997761,23,1
1364046158205751297,4967,197
1593527714,831,142
1575521620780879872,319,51
269481128,5002,3464
3779554096,3995,6319
1575245027869134863,2801,3119
61608747,386588,518386
741341480,25378,30943
1588929584225046530,872,347
968008274003005440,12551,36511
2439711755,6902,10335
1432237697280610307,657,142
28786504,4973,2455
239693731,1020,860
73887459,1305,616
1454720625973604356,263,147
1457796469029842950,854,19118
4326340339,2865,262
1483989462459850754,166,5
1487343639147970565,76,9
1234186427325435908,19,3
2717663955,3755,4641
1476036455776624640,975,44
960542202983104512,498,293
322314065,4609,1113
1604873377533120513,5,425
1857517531,2411,1779
1467678044576006144,10,3
954065730852544512,404,847
2879369968,982,1619
1522601730680176643,120,56
1410338516731678723,4743,1414
15373404,8087,8069
1422735546078670851,430,218
1392660860284329984,1023,93
2179499404,4073,15893
175162986,324,203
939524747674705921,107,18
1091929787206193152,2040,1035
124945570,63725,66339
985125847022620673,131,42
229140659,2413,1216
1451525810691653634,5982,10034
1451600520918011906,45,160
823794074507300864,347,48
1055858940490248192,248,2169
1603581560346877952,318,99
1330697022635200512,196,3241
1293261144677855232,134,19
2748744960,496,702
604704322,2091,292
1452355456114966528,5001,420
1468333751541317636,143,26
954695070833364992,241,894
1095654167270645760,483,574
1471853673403797505,389,115
3629717297,2832,1987
1108909823997956096,87,8
1584438126075957250,752,1594
1399884807539146757,78,44
19577980,312,874
1234190656098258946,286,73
291471206,24775,59896
1594389119769071617,12955,13465
784432061771878400,105,280
1176612836455407616,14280,14679
21057434,113883,113713
30803950,612,7496
1595730261349732352,55,11
4173667156,61,7
1445278353158643716,894,674
139131846,3937,1485
2570862521,323,634
1356450277960814594,4979,272
824548261637816321,24,748
1238960614606811138,508,118
1596674456776228864,71,17
1590655197109428224,45,13
1400567285362855940,958,209
1585444589078552588,941,62
541818839,229,87
1318331323887411200,186,646
1267519922927816710,653,187
1401202436325453824,48,66
705071668079816704,18883,20286
3304507591,101,39
1376063085773983744,4,50
1073351604450050048,3821,4849
2993753631,118,151
244166143,2156,2806
15221598,108684,117916
1569697357822070794,845,266
703082981439709184,2258,3166
1373680554420416513,157,28
1436604651827306500,334,10
1598128254795259905,79,26
939531770256592902,1531,123
70574146,489,3725
1142424032794406912,2,38588
411259623,1172,94
3424070074,17053,17401
1595909327176466433,65,29
1555425299856252928,253,241
1611750327925211138,85,103
2645763574,3899,2191
203614758,1541,730
1358077334843056133,2,57
354214039,4121,5219
1491653392644853762,67,1
1561612374003572736,139,98
1544625966202462209,355,147
1464627613385859082,2834,155
1575627848232017920,400,48
1014955453497905152,308,137
1184765607574753281,56,271
1255863285406031872,944,281
1584536759425290240,3,6
877925836636143617,5540,7325
1497787496,5457,31003
1544644567022141441,38,10
1409705341,409,10510
1518267485040136196,95,78
1347009372203798529,12566,12652
942745863734026241,2197,889
19322831,1290,1380
898821075248832514,6541,5929
1367907352133910534,651,245
269589828,1543,1035
1463156480434081792,66,37045
833467503208718336,204,265
1090791653206577152,431,3994
265512988,323,158
731993030794809344,698,349
1364130692075028483,22,910
1248629633941032963,185,271
2426251243,475,117
1493994606568030215,12531,18227
1535351231584927744,19,1
33291730,1060,1890
1506277435905658883,143,83
1313320655849488385,23,308
1529485689510694912,19,7
1477013950399238151,849,184
1777794372,5924,9154
1463556105393500161,2710,2523
1246118622306631682,1969,497
40595675,921,3902
1426764366821662724,97,22
124074098,721,128
2933447393,2315,36151
284068570,631,2485
808051518242979841,106722,150120
1487140184357494792,204,75
3113963512,7901,7180
1554816548937908224,556,111
466115072,542,464
714685684037062656,552,872
2856133189,4998,2697
1275263857980616705,2,8132
1531384524256514048,1,1064
2444237406,1380,1331
1631812104,1277,653
1100524208331866113,757,1026
1539976645250912266,16,43
1207860381370081280,253,931
258805782,0,399
323239877,231,601
981706124582727680,2248,80320
71435194,748,474
4089248961,1181,679
1526448657402195970,31,19
598337555,5001,3644
1558196101286694912,2460,1699
841293744,3393,2479
1247214343177076736,18,58
2908261119,1451,1968
709317259290869760,5033,6004
214200223,3197,10349
2614716942,328,46
1486636190099021826,619,1942
1017590606061883392,2208,1493
723903971635675136,605,974
1051155980812091392,1792,788
1862777917,1267,81
859795500433760256,72,832
112027949,728,458
1604364188914053120,180,221
786047748508221440,3345,53282
1041125150836453377,759,742
1555533559187873792,66,19
254425095,1263,111
